x;y
4593002.330047645;5821399.413079363
4593002.330047645;5821399.413079363
4593002.330047645;5821399.413079363
4592559.401516623;5819995.243603198
4592559.401516623;5819995.243603198
4587407.624140388;5814014.955570894
4587407.624140388;5814014.955570894
4587407.624140388;5814014.955570894
4595392.517772456;5821611.528499012
4595392.517772456;5821611.528499012
4595392.517772456;5821611.528499012
4595392.517772456;5821611.528499012
4595392.517772456;5821611.528499012
4593049.90394745;5809534.83252704
4593049.90394745;5809534.83252704
4591526.575542146;5820436.148095537
4591526.575542146;5820436.148095537
4591526.575542146;5820436.148095537
4596123.3208162775;5823246.230025683
4596123.3208162775;5823246.230025683
4601004.123890181;5816673.668231266
4601004.123890181;5816673.668231266
4601004.123890181;5816673.668231266
4591061.257750551;5818616.428741466
4591061.257750551;5818616.428741466
4591061.257750551;5818616.428741466
4591061.257750551;5818616.428741466
4591922.925722742;5823971.990399241
4591922.925722742;5823971.990399241
4591922.925722742;5823971.990399241
4591922.925722742;5823971.990399241
4594506.728806176;5822240.25408797
4594506.728806176;5822240.25408797
4594506.728806176;5822240.25408797
4596858.336504862;5821532.259820264
4596858.336504862;5821532.259820264
4596858.336504862;5821532.259820264
4590400.834201527;5821490.206661648
4590400.834201527;5821490.206661648
4594131.133620988;5819442.35209382
4594131.133620988;5819442.35209382
4594131.133620988;5819442.35209382
4594131.133620988;5819442.35209382
4594131.133620988;5819442.35209382
4594033.454009361;5821117.882972052
4594033.454009361;5821117.882972052
4594033.454009361;5821117.882972052
4597424.13748174;5824666.921915194
4597424.13748174;5824666.921915194
4597424.13748174;5824666.921915194
4607238.544886652;5825787.805291684
4607238.544886652;5825787.805291684
4607238.544886652;5825787.805291684
4594485.057110344;5821082.407446319
4594485.057110344;5821082.407446319
4594485.057110344;5821082.407446319
4589222.629892487;5823556.039398909
4589222.629892487;5823556.039398909
4589222.629892487;5823556.039398909
4596785.908772166;5826735.937924259
4596785.908772166;5826735.937924259
4596785.908772166;5826735.937924259
4596785.908772166;5826735.937924259
4599294.00995829;5822578.27171143
4599294.00995829;5822578.27171143
4597970.317937669;5828598.7012385335
4597970.317937669;5828598.7012385335
4597913.943625474;5823571.864020799
4597913.943625474;5823571.864020799
4597913.943625474;5823571.864020799
4597913.943625474;5823571.864020799
4597913.943625474;5823571.864020799
4598339.300314417;5824970.39515635
4598339.300314417;5824970.39515635
4598339.300314417;5824970.39515635
4596869.952829151;5815714.444519279
4596869.952829151;5815714.444519279
4596869.952829151;5815714.444519279
4596869.952829151;5815714.444519279
4588127.768842772;5820833.194674312
4588127.768842772;5820833.194674312
4591053.850346637;5819597.351081937
4591053.850346637;5819597.351081937
4595140.705071486;5819252.885475975
4595140.705071486;5819252.885475975
4586320.847439039;5820936.303388603
4586320.847439039;5820936.303388603
4586320.847439039;5820936.303388603
4598597.976964321;5824044.400627705
4598597.976964321;5824044.400627705
4598597.976964321;5824044.400627705
4598597.976964321;5824044.400627705
4594717.515190689;5804326.117803622
4594717.515190689;5804326.117803622
4589353.671455627;5834379.325263909
4589353.671455627;5834379.325263909
4589548.74647437;5708600.877883995
4589548.74647437;5708600.877883995
4613394.329955874;5833083.64001716
4613394.329955874;5833083.64001716
4626101.880340344;5821538.13964766
4626101.880340344;5821538.13964766
4661536.737207389;5823552.514309636
4661536.737207389;5823552.514309636
4610567.0901956055;5817799.7166642705
4610567.0901956055;5817799.7166642705
4609970.816748934;5817150.226141429
4609970.816748934;5817150.226141429
4611951.567848792;5824082.603098899
4611951.567848792;5824082.603098899
4611776.376000824;5819834.710873276
4611776.376000824;5819834.710873276
4610655.501500444;5819044.970563618
4610655.501500444;5819044.970563618
4569562.402414817;5886873.810680116
4569562.402414817;5886873.810680116
4633596.7860230375;5827717.077532182
4633596.7860230375;5827717.077532182
